"IdPais","Pais"
"17","ALEMANA"
"2","ARGELINA"
"1","ARGENTINA"
"15","BELGA"
"3","BOLIVIANA"
"4","BRASILEÑA"
"34","CANADA"
"5","CHILENA"
"27","CHINA"
"25","COLOMBIANA"
"47","CONGOLEÑA"
"46","COSTARIQUENSE"
"38","CUBANO"
"6","DOMINICANA"
"22","ECUATORIANA"
"7","EGIPCIA"
"8","ESPAÑOLA"
"29","ESTADOUNIDENSE"
"16","FRANCESA"
"45","GUATEMALTECA"
"40","HAITIANO"
"32","HOLANDESA"
"36","INGLESA"
"9","ITALIANA"
"18","LIBANESA"
"26","MEXICANA"
"10","NICARAGUENSE"
"11","NORUEGA"
"12","PARAGUAYA"
"33","PARANA"
"13","PERUANA"
"19","RUMANA"
"41","SENEGALESA"
"20","SIRIA"
"21","TURCA"
"37","UCRANIA"
"14","URUGUAYA"
"39","VENEZOLANA"
